what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1510671453348
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1510671456541
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1510671460851
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1510671477466
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.window.preferences",1510671477487
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1510671478288
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1510671482558
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1510671495126
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1510671503363
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1510671503594
error,log,,,"Unable to validate connection settings.",1510671511412
error,log,,,"Unable to validate connection settings.",1510671511428
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1510671511481
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1510671515628
started,bundle,com.altera.debug.cdi.gdb.plugin,13.13.0.132,"com.altera.debug.cdi.gdb.plugin",1510671520974
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1510671521111
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1510671528586
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1510671531729
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=0x10002020] return code: 4, 'other error'",1510671534670
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --go, --accept-bad-sysid, --sidp=0x10002020, /cygdrive/c/Users/max/programming/Verilog/Cornell_labs/lab2/DDA_nios/software/DDA_nios/DDA_nios.elf] return code: 4, 'other error'",1510671537845
error,log,,,"Downloading ELF Process failed",1510671537859
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1510671537901
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1510671541746
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1510671541754
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1510671543282
